Original,English,Vietnamese,Type
炼气三层,Qi Refining Level 3,Luyện khí tầng ba,term
修真世界,Cultivation world,Thế giới tu chân,location
猪头龙,,Trư đầu long,name
鸡头龙,,Kê đầu long,name
龙首人身,,Long thủ nhân thân,term
黑龙,Black Dragon,Hắc Long,name
龙真身,Dragon true form,Long chân thân,term
队友祭天,Sacrificing teammates,Đội Hữu Tế Thiên,term
透支,Overdraw,Thấu chi,term
世界杯,World Cup,World Cup,other
转会市场,Transfer market,Thị trường chuyển nhượng,term
教练,Coach,Huấn luyện viên,term
足球周边,Football merchandise,Sản phẩm phái sinh bóng đá,term
足协,Football Association,Liên đoàn bóng đá,organization
柳春华,,Liễu Xuân Hoa,name
丁盼夏,,Đinh Phán Hạ,name
中武,Mid-tier martial world,Trung võ,term
高武,High-tier martial world,Cao võ,term
低武,Low-tier martial world,Thấp võ,term
修行文明,Cultivation civilization,Văn minh tu hành,term
龙子龙孙,Dragon offspring,Long tử long tôn,term
封印馆,Sealing Hall,Phong Ấn Quán,location
潘多拉魔盒,Pandora's Box,Chiếc hộp Pandora,other
西大陆,Western Continent,Tây Đại Lục,location
东大陆,Eastern Continent,Đông Đại Lục,location
廖忠,,Liêu Trung,name
宋嘉妮,,Tống Gia Ni,name
静心诀,Quiet Heart Art,Tĩnh Tâm Quyết,term
庞丰,,Bàng Phong,name
五行相生法,Five Elements Generation Method,Ngũ Hành Tương Sinh Pháp,term
筑基,Foundation Establishment,Trúc cơ,term
灵气,Spiritual energy,Linh khí,term
炼气,Qi Refining,Luyện khí,term
长青功,Evergreen Art,Trường Thanh Công,term
五雷法,Five Thunder Art,Ngũ Lôi Pháp,term
炼金术,Alchemy,Luyện kim thuật,term
西文,Western language,chữ latin,term
神龙,Divine Dragon,Thần Long,name
知州,,Tri châu,term
龙根,,Long căn,term
仙界,Immortal Realm,Tiên giới,location
基础魔法,Basic Magic,Ma pháp cơ bản,term
清大,Tsinghua University,Đại học Thanh Hoa,location
丧尸,Zombie,Xác sống,term
晶核,Crystal core,Tinh hạch,term
喇叭,Loudspeaker,Loa,term
杨天睿,,Dương Thiên Duệ,name
沈卫风,,Thẩm Vệ Phong,name
李昊,Li Hao,Lý Hạo,name
青阳门,,Thanh Dương Môn,organization
无极宗,,Vô Cực Tông,organization
神剑派,,Thần Kiếm Phái,organization
灵云观,,Linh Vân Quan,organization
天松山,,Thiên Tùng Sơn,organization
长定殿,,Trường Định Điện,location
灵石,Spirit stone,Linh thạch,currency
能量棒,Energy bar,Thanh năng lượng,term
紫阳葫芦,,Tử Dương hồ lô,term
筑基期,Foundation Establishment stage,Trúc Cơ kỳ,term
上阳遗迹,,di tích Thượng Dương,location
洞庭山,,Động Đình Sơn,location
湖州,,Hồ Châu,location
交州,,Giao Châu,location
蓟州,,Kế Châu,location
长安,,Trường An,location
抚宁,,Phủ Ninh,location
星辰砂,,Tinh Thần Sa,term
天杉木,,Thiên Sâm Mộc,term
纸鹤,Paper crane,Hạc Giấy,term
道宗,Dao Sect,Đạo Tông,organization
剑宗,Sword Sect,Kiếm Tông,organization
佛宗,Buddhist Sect,Phật Tông,organization
魔门,Demon Gate,Ma Môn,organization
鬼宗,Ghost Sect,Quỷ Tông,organization
妖界,Demon Realm,Yêu Giới,organization
青阳山,,Thanh Dương Sơn,location
青阳峰,,Thanh Dương Phong,location
长定峰,,Trường Định Phong,location
长青峰,,Trường Thanh Phong,location
长白峰,,Trường Bạch Phong,location
长乐峰,,Trường Lạc Phong,location
祖师殿,,Tổ Sư Điện,location
徐景行,,Từ Cảnh Hành,name
于兰馨,,Vu Lan Hinh,name
文雷,,Văn Lôi,name
鹿青菱,,Lộc Thanh Lăng,name
孟明哲,,Mạnh Minh Triết,name
葛瑞,,Cát Thụy,name
青云心法,,Thanh Vân Tâm Pháp,term
青元心法,,Thanh Nguyên Tâm Pháp,term
元婴,Nascent Soul,Nguyên Anh,term
化神,Soul Transformation,Hóa Thần,term
炼虚,Void Refinement,Luyện Hư,term
合道,Dao Integration,Hợp Đạo,term
炼虚合道,,Luyện Hư Hợp Đạo,term
塑料,Plastic,Nhựa,term
问道盟,Wendao Alliance,Vấn Đạo Minh,organization
活字印刷,Movable type printing,In chữ rời,term
曲辕犁,Curved-shaft plough,Cày càng cong,term
江诗丹顿纵横四海,,Vacheron Constantin Overseas,other
自然学家,naturalist,Nhà tự nhiên học,term
《食物链和生态网》,,Chuỗi thức ăn và Mạng lưới sinh thái,term
《物种起源》,On the Origin of Species,Nguồn gốc các loài,term
物竞天择,natural selection,Vật cạnh thiên trạch,term
适者生存,survival of the fittest,Thích giả sinh tồn,term
《战争论》,On War,Bàn về chiến tranh,term
入门学员,,Nhập môn học viên,term
学徒,,Học đồ,term
学士,,Học sĩ,term
学者,,Học giả,term
大学者,,Đại học giả,term
讲师,,Giảng sư,term
大讲师,,Đại giảng sư,term
圣师,,Thánh sư,term
手表,watch,Đồng hồ,term
阴飞槐,,Âm Phi Hòe,name
姜易山,,Khương Dịch Sơn,name
沐雪,,Mộc Tuyết,name
吉天问,,Cát Thiên Vấn,name
五派大比,,Ngũ phái đại tỷ,term
天神之手,,Thiên Thần Chi Thủ,term
创世五圣,,Sáng thế ngũ thánh,term
孔丘,,Khổng Khâu,name
孟柯,,Mạnh Kha,name
李聃,,Lý Đam,name
庄周,,Trang Chu,name
孙武,,Tôn Vũ,name
创始八元老,,Sáng thủy bát nguyên lão,term
金丹,,Kim Đan,term
吉天,,Cát Thiên,name
陆慕,,Lục Mộ,name
姜国,,Khương Quốc,location
隆历年,,Long Lịch Niên,term
谭邦彦,,Đàm Bang Ngạn,name
鲁国,,Lỗ Quốc,location
莫离,,Mạc Ly,name
丁寿安,,Đinh Thọ An,name
江南商会,,Giang Nam Thương Hội,organization
潘运,,Phan Vận,name
道心,,Đạo tâm,term
腕表,Wristwatch,Đồng hồ đeo tay,term
法器,,Pháp khí,term
阵纹,,Trận văn,term
神识,,Thần thức,term
炼器,,Luyện khí,term
投影阵纹,,Chiếu ảnh trận văn,term
江师丹顿,Vacheron Constantin,Vacheron Constantin,term
《经学中庸解》,,Kinh Học Trung Dung Giải,other
《礼说》,,Lễ Thuyết,other
《蒙正》,,Mông Chính,other
《练兵新策》,,Luyện Binh Tân Sách,other
《兵圣新解》,,Binh Thánh Tân Giải,other
孟良哲,,Mạnh Lương Triết,name
化神境,Deity Transformation Realm,Hóa Thần Cảnh,term
炼虚境,Void Refinement Realm,Luyện Hư Cảnh,term
合道境,Dao Integration Realm,Hợp Đạo Cảnh,term
五派联盟,Five Sect Alliance,Ngũ Phái Liên Minh,organization
青阳真经,,Thanh Dương Chân Kinh,term
执法堂,,Chấp Pháp Đường,organization
蔡章,,Thái Chương,name
灵药堂,,Linh Dược Đường,organization
屈豪,,Khuất Hào,name
天松门,,Thiên Tùng Môn,organization
孙长老,,Tôn Trưởng Lão,name
中品灵石,Mid-grade Spirit Stone,Trung Phẩm Linh Thạch,currency
上品灵石,High-grade Spirit Stone,Thượng Phẩm Linh Thạch,currency
极品灵石,Top-grade Spirit Stone,Cực Phẩm Linh Thạch,currency
时间之神,Time God,Thời Gian Chi Thần,god
经济学,Economics,Kinh Tế Học,term
国富论,The Wealth of Nations,Quốc Phú Luận,term
边缘政治,Geopolitics,Biên Duyên Chính Trị,term
完美筑基,Perfect Foundation,Hoàn Mỹ Trúc Cơ,term
炼气八层,,Luyện Khí Bát Tầng,term
驱尘术,Dust-Cleansing Art,Khu Trần Thuật,term
飞升之道,Way of Ascension,Phi Thăng Chi Đạo,term
化丹成婴,,Hóa Đan Thành Anh,term
上三门,Three Great Sects,Thượng Tam Môn,organization
曹伯言,,Tào Bá Ngôn,name
青木盾,,Thanh Mộc Thuẫn,term
替身木,,Thế Thân Mộc,term
雪蚕衣,,Tuyết Tằm Y,term
神行靴,,Thần Hành Ngoa,term
传送符,,Truyền Tống Phù,term
萧远,,Tiêu Viễn,name
邹坤,,Trâu Khôn,name
邪道三宗,Three Evil Sects,Tà Đạo Tam Tông,organization
葫芦山,Gourd Mountain,Hồ Lô Sơn,location
金丹境,Golden Core Stage,Kim Đan Cảnh,term
雷文杰,,Lôi Văn Kiệt,name
裘冥,,Cừu Minh,name
魔主,Demon Lord,Ma Chủ,name
魔莲变,,Ma Liên Biến,term
筑基一层,Foundation Building Level 1,Trúc Cơ nhất tầng,term
筑基二层,Foundation Building Level 2,Trúc Cơ nhị tầng,term
天松派,Tiansong Sect,Thiên Tùng Phái,organization
小阳峰,,Tiểu Dương Phong,location
大阳峰,,Đại Dương Phong,location
斗转星移,,Đẩu Chuyển Tinh Di,term
因果之道,Path of Karma,Nhân Quả Chi Đạo,term
因果之刀,Knife of Karma,Đao Nhân Quả,term
愿力,Power of Will,Nguyện Lực,term
众生愿力,Power of Sentient Beings' Vows,Chúng Sinh Nguyện Lực,term
