Original,English,Vietnamese,Type
郭成,,Quách Thành,name
宣公公,,Tuyên Công Công,name
张放,,Trương Phóng,name
气海境,,Khí Hải Cảnh,term
结丹境,,Kết Đan Cảnh,term
元婴,Nascent Soul,Nguyên Anh,term
火还丹,,Hỏa Hoàn Đan,term
固脉丹,,Cố Mạch Đan,term
传送阵,,Truyền Tống Trận,term
血脉图腾,,Huyết Mạch Đồ Đằng,term
四方阵,,Tứ Phương Trận,term
中指峰,,Trung Chỉ Phong,location
灵针,Spiritual needles,Linh Châm,term
鲁师傅,,Lỗ Sư Phó,name
鲁大师,,Lỗ Đại Sư,name
工部,,Công Bộ,organization
兵器大师,Weapon master,Binh Khí Đại Sư,term
理刑百户,,Lý Hình Bách Hộ,term
林奇,,Lâm Kỳ,name
林生,,Lâm Sinh,name
剑纹,,Kiếm Văn,term
炼肉,Flesh tempering,Luyện Nhục,term
楚君豪,,Sở Quân Hào,name
段语嫣,,Đoạn Ngữ Yên,name
花晚月,,Hoa Vãn Nguyệt,name
信国公府,,Tín Quốc Công Phủ,organization
柳氏,,Liễu Thị,name
鬼市,Ghost market,Quỷ Thị,location
十里村,,Thập Lý Thôn,location
幽狱,,U Ngục,location
朱雀传功石,,Chu Tước Truyền Công Thạch,term
朱雀传功碑,,Chu Tước Truyền Công Bi,term
朱雀呼吸吐纳法,,Chu Tước Hô Hấp Thổ Nạp Pháp,term
观想篇,,Quán Tưởng Thiên,term
陵光殿,,Lăng Quang Điện,location
南乡县,,Huyện Nam Hương,location
火灵矿,Fire spirit mine,Hỏa Linh Khoáng,location
游老,,Du Lão,name
小寿子,,Tiểu Thọ Tử,name
小桂子,,Tiểu Quế Tử,name
尹剑雄,,Doãn Kiếm Hùng,name
魏振杰,,Ngụy Chấn Kiệt,name
天部,,Thiên Bộ,organization
许记药铺,,Hứa Ký Dược Tiệm,location
青州,,Thanh Châu,location
佛手,,Phật Thủ,term
储物法宝,,Trữ Vật Pháp Bảo,term
灵脉,,Linh Mạch,term
单木灵根,,Đơn Mộc Linh Căn,term
火木双灵根,,Hỏa Mộc Song Linh Căn,term
土木灵根,,Thổ Mộc Linh Căn,term
玄武,,Huyền Vũ,other
青龙,,Thanh Long,other
白虎,,Bạch Hổ,other
四灵,,Tứ Linh,other
五方大陆,,Ngũ Phương Đại Lục,location
中央大陆,,Trung Ương Đại Lục,location
大寂灭,,Đại Tịch Diệt,term
妖道,,Yêu Đạo,term
妖僧,,Yêu Tăng,term
《凡植药材》,,Phàm Thực Dược Tài,other
《妖族修炼手札》,,Yêu Tộc Tu Luyện Thủ Trát,other
《天狗吞月》,,Thiên Cẩu Thôn Nguyệt,term
《神鸡报晓》,,Thần Kê Báo Hiểu,term
《龙腾四海》,,Long Đằng Tứ Hải,term
《土元诀》,,Thổ Nguyên Quyết,term
《金元诀》,,Kim Nguyên Quyết,term
《上善诀》,,Thượng Thiện Quyết,term
《钻木取火》,,Toản Mộc Thủ Hỏa,term
练气境,,Luyện Khí Cảnh,term
白衣和尚,,Bạch Y Hòa Thượng,name
青牛,,Thanh Ngưu,name
五行山,Five Elements Mountain,Ngũ Hành Sơn,location
无名指峰,Ring Finger Peak,Vô Danh Chỉ Phong,location
瑶池秘境,,Dao Trì Bí Cảnh,location
太素宫,,Thái Tố Cung,organization
修罗门,,Tu La Môn,organization
灵雨术,Spirit Rain Technique,Linh Vũ Thuật,term
传讯符,Communication Talisman,Truyền Tín Phù,term
符树,Talisman Tree,Phù Thụ,term
四艺入门,Four Arts Introduction,Tứ Nghệ Nhập Môn,term
莲域,Lotus Domain,Liên Vực,term
灭神,God Exterminator,Diệt Thần,term
淬皮,Skin tempering,Tôi Bì,term
炼体术,Body tempering technique,Luyện Thể Thuật,term
脱胎丹,,Thoát Thai Đan,term
丹火灯,Alchemical fire lantern,Đan Hỏa Đăng,term
第一街,First Street,Đệ Nhất Nhai,location
夏松,,Hạ Tùng,name
夏柏,,Hạ Bách,name
夏歌,,Hạ Ca,name
苏盈,,Tô Doanh,name
阿牛,,A Ngưu,name
蒲草,,Bồ Thảo,name
童药师,,Đồng Dược Sư,name
祝余,,Chúc Dư,name
孔管事,,Khổng Quản Sự,name
沈知行,,Thẩm Tri Hành,name
花明昂,,Hoa Minh Ngang,name
花十一郎,,Hoa Thập Nhất Lang,name
红袍妖道,,Hồng Bào Yêu Đạo,name
第一署,,Đệ Nhất Thự,organization
第二署,,Đệ Nhị Thự,organization
三叉药庄,,Tam Xoa Dược Trang,location
三叉药谷,,Tam Xoa Dược Cốc,location
京兆府,,Kinh Triệu Phủ,organization
交州,,Giao Châu,location
刑部,Ministry of Justice,Hình Bộ,organization
焚炎决,,Phần Viêm Quyết,term
四方旗,,Tứ Phương Kỳ,term
复元丹,,Phục Nguyên Đan,term
望闻问切术,,Vọng Văn Vấn Thiết Thuật,term
传送阵图,,Truyền Tống Trận Đồ,term
玄铁石,,Huyền Thiết Thạch,term
花钿,,Hoa Điền,term
北镇抚司,Northern Pacification Office,Bắc Trấn Phủ Ty,location
封灵香,Spirit-sealing incense,Phong Linh Hương,term
朱雀灵,Suzaku Spirit,Chu Tước Linh,other
朱雀传功台,,Chu Tước Truyền Công Đài,location
胡氏一族,Hu clan,Hồ Thị Nhất Tộc,organization
炼肉篇,,Luyện Nhục Phiến,term
淬肉,,Thối Nhục,term
碑台,,Bi Đài,other
方修士,,Phương Tu Sĩ,name
六扇门,Six Doors,Lục Phiến Môn,organization
大族老,Great Clan Elder,Đại Tộc Lão,term
京兆府府尹,Prefect of Jingzhao,Kinh Triệu Phủ Phủ Doãn,term
林公公,,Lâm Công Công,organization
七皇子,7th Prince,Thất Hoàng Tử,name
太上皇,Retired Emperor,Thái Thượng Hoàng,name
苏皇后,Empress Su,Tô Hoàng Hậu,name
段贵妃,Noble Consort Duan,Đoạn Quý Phi,name
二皇子,2nd Prince,Nhị Hoàng Tử,name
四公主,4th Princess,Tứ Công Chúa,name
钦天楼,,Khâm Thiên Lâu,location
光阴楼,,Quang Âm Lâu,location
冥河,Underworld River,Minh Hà,location
封灵汤,,Phong Linh Thang,term
解灵丹,,Giải Linh Đan,term
勾魂爪,,Câu Hồn Trảo,term
削魂鞭,,Tước Hồn Tiên,term
锁魂铐,,Tỏa Hồn Khảo,term
魂骨哨,,Hồn Cốt Sáo,term
牛头山,Ox-Head Mountain,Ngưu Đầu Sơn,location
牛头尊者,,Ngưu Đầu Tôn Giả,name
黄莽,,Hoàng Mãng,name
碧莲尊者,,Bích Liên Tôn Giả,name
莲花山,Lotus Mountain,Liên Hoa Sơn,location
魂井,Soul Well,Hồn Tỉnh,location
噬魂树,Soul-Devouring Tree,Phệ Hồn Thụ,term
魂晶,Soul Crystal,Hồn Tinh,term
魂器,Soul Artifact,Hồn Khí,term
魂锣,Soul Gong,Hồn La,term
长眉罗汉,Long-Eyebrow Arhat,Trường Mi La Hán,name
相国寺,Xiangguo Temple,Tương Quốc Tự,organization
关镜,,Quan Kính,term
白骨夫人,Lady Bone,Bạch Cốt Phu Nhân,name
冥龙,Underworld Dragon,Minh Long,name
艮门关,,Cấn Môn Quan,location
铁匠坊,,Thiết Tượng Phường,organization
帝休寺,,Đế Hưu Tự,organization
九曲十八弯石林,,Cửu Khúc Thập Bát Loan Thạch Lâm,location
镇魔军,Demon-Suppressing Army,Trấn Ma Quân,organization
楚君屹,,Sở Quân Ngật,name
太极宫,Taiji Palace,Thái Cực Cung,location
福王,Prince Fu,Phúc Vương,name
九幽,Nine Netherworlds,Cửu U,location
钦天监,,Khâm Thiên Giám,organization
袁启,,Viên Khải,name
启灵,,Khải Linh,term
南海,South China Sea,Nam Hải,location
谢之寻,,Tạ Chi Tầm,name
艮门桥,,Cấn Môn Kiều,location
冥龙亭,,Minh Long Đình,location
白骨山,,Bạch Cốt Sơn,location
昆仑镜,Kunlun Mirror,Côn Luân Kính,term
长眉大师,,Trường Mi Đại Sư,name
天师府,,Thiên Sư Phủ,organization
三清宫,,Tam Thanh Cung,organization
断魂林,,Đoạn Hồn Lâm,location
两仪符笔,,Lưỡng Nghi Phù Bút,term
噬魂井,,Phệ Hồn Tỉnh,location
朱雀焰,,Chu Tước Diễm,term
火莲仙子,,Hỏa Liên Tiên Tử,name
孟子御,,Mạnh Tử Ngự,name
叶景舟,,Diệp Cảnh Chu,name
魂晶矿,,Hồn Tinh Khoáng,term
灵台境,,Linh Đài Cảnh,term
朱雀玉佩,,Chu Tước Ngọc Bội,term
朱雀军,,Chu Tước Quân,organization
八号岐黄馆,,Bát Hào Kỳ Hoàng Quán,location
冥婆,,Minh Bà,name
鲁旺,,Lỗ Vượng,name
离断山,,Ly Đoạn Sơn,location
罗汉堂,,La Hán Đường,location
无相大师,,Vô Tướng Đại Sư,name
归一大师,,Quy Nhất Đại Sư,name
净了,,Tịnh Liễu,name
符圣阁,,Phù Thánh Các,location
功德金莲,Merit Golden Lotus,Công Đức Kim Liên,term
戒坛,,Giới Đàn,location
觉池,,Giác Trì,location
觉纹,,Giác Văn,term
神灯,Divine Lamp,Thần Đăng,term
白焰,White Flame,Bạch Diễm,term
黑焰,Black Flame,Hắc Diễm,term
黑鱼纹,,Hắc Ngư Văn,term
清心咒,Heart-Clearing Incantation,Thanh Tâm Chú,term
刘熠云,,Lưu Diệc Vân,name
昆仑秘境,,Côn Luân Bí Cảnh,location
晏潇阳,,Yến Tiêu Dương,name
诛妖剑,,Chu Ma Kiếm,other
符笔,,Phù Bút,other
陆青菱,,Lục Thanh Lăng,name
陆青萝,,Lục Thanh La,name
勾魂铁爪,,Câu Hồn Thiết Trảo,term
须弥芥子珠,,Tu Di Giới Tử Châu,term
随身村庄,,Thôn Trang Tùy Thân,term
元灵丹,,Nguyên Linh Đan,term
蒋言一,,Tưởng Ngôn Nhất,name
东安王,,Đông An Vương,name
宋为民,,Tống Vi Dân,name
吏部,,Lại Bộ,organization
寿王,,Thọ Vương,name
袁天酬,,Viên Thiên Thù,name
凡植全册,,Phàm Thực Toàn Sách,term
药材炮典,,Dược Tài Pháo Điển,term
法衣,,Pháp Y,term
花三姑,,Hoa Tam Cô,name
沈姑父,,Thẩm Cô Phụ,name
花弘晨,,Hoa Hoằng Thần,name
花弘涛,,Hoa Hoằng Đào,name
花明哲,,Hoa Minh Triết,name
花十四娘,,Hoa Thập Tứ Nương,name
小满,,Tiểu Mãn,name
花斌,,Hoa Bân,name
花氏宗族,Hua Clan,Hoa Thị Tông Tộc,organization
沈家,Shen Family,Thẩm Gia,organization
须弥珠,Sumeru Bead,Tu Di Châu,term
岐黄炼体术,,Kỳ Hoàng Luyện Thể Thuật,term
炼骨篇,,Luyện Cốt Thiên,term
立体小剑,,Lập Thể Tiểu Kiếm,term
花显耀,,Hoa Hiển Diệu,name
花语桐,,Hoa Ngữ Đồng,name
云悠,,Vân Du,name
苏御,,Tô Ngự,name
叶璃月,,Diệp Ly Nguyệt,name
刘书逸,,Lưu Thư Dật,name
秦芷兰,,Tần Chỉ Lan,name
皇上,,Hoàng Thượng,name
修政坊,,Tu Chính Phường,location
南象城,,Nam Tượng Thành,location
东象城,,Đông Tượng Thành,location
西象城,,Tây Tượng Thành,location
北象城,,Bắc Tượng Thành,location
库部,,Kho Bộ,organization
丹药房,,Đan Dược Phòng,location
符箓阁,,Phù Lục Các,location
御阵楼,,Ngự Trận Lầu,location
炼器房,,Luyện Khí Phòng,location
军械处,,Quân Giới Xứ,organization
练功堂,,Luyện Công Đường,location
传功殿,,Truyền Công Điện,location
凤凰血脉,,Phượng Hoàng Huyết Mạch,term
青鸾血脉,,Thanh Loan Huyết Mạch,term
金乌血脉,,Kim Ô Huyết Mạch,term
毕方血脉,,Tất Phương Huyết Mạch,term
火麒麟血脉,,Hỏa Kỳ Lân Huyết Mạch,term
常威,,Thường Uy,name
楚氏皇族,,Sở Thị Hoàng Tộc,organization
龙宫,,Long Cung,location
海底龙宫,,Hải Đáy Long Cung,location
浮光剑诀,,Phù Quang Kiếm Quyết,term
浮光剑,,Phù Quang Kiếm,term
避水珠,,Tị Thủy Châu,term
气海,,Khí Hải,term
灵台,,Linh Đài,term
钦天监监正,,Khâm Thiên Giám Giám Chính,term
姜家人,,Khương Gia Nhân,organization
孟家人,,Mạnh Gia Nhân,organization
